steps, exact, numeric, error, time
10, 0.193, 0.182, 0.0112, 0.316
20, 0.193, 0.196, 0.00287, 10.4
30, 0.193, 0.195, 0.00230, 109.
40, 0.193, 0.195, 0.00207, 584.
