steps, exact, numeric, error, variance, time
250, 0.193, 0.237, 0.0439, 4.94E-06, 0.00627
2500, 0.193, 0.200, 0.00720, 3.28E-06, 0.00960
25000, 0.193, 0.193, 8.23E-05, 5.90E-06, 0.00925
250000, 0.193, 0.193, 0.000589, 6.46E-06, 0.152
2500000, 0.193, 0.193, 0.000933, 6.49E-06, 1.47
25000000, 0.193, 0.193, 0.000589, 6.80E-06, 14.9
250000000, 0.193, 0.193, 0.000554, 7.19E-06, 147.
