steps, exact, numeric, error, variance, time
250, 0.193, 0.245, 0.0525, 3.37E-06, 0.000394
2500, 0.193, 0.197, 0.0206, 1.11E-05, 0.00673
25000, 0.193, 0.193, 0.00297, 6.07E-06, 0.0273
250000, 0.193, 0.193, 0.00134, 7.35E-06, 0.107
2500000, 0.193, 0.193, 0.000516, 6.25E-06, 1.42
25000000, 0.193, 0.193, 0.000380, 7.61E-06, 14.5
250000000, 0.193, 0.193, 0.000226, 6.99E-06, 160.
