steps, exact, numeric, error, variance, time
250, 0.193, 0.140, 0.0523, 8.95E-07, 0.000410
2500, 0.193, 0.201, 0.00812, 3.96E-06, 0.00195
25000, 0.193, 0.193, 6.65E-05, 5.32E-06, 0.0295
250000, 0.193, 0.193, 0.000215, 6.51E-06, 0.154
2500000, 0.193, 0.193, 0.000309, 7.67E-06, 1.58
25000000, 0.193, 0.193, 0.000259, 7.14E-06, 14.8
250000000, 0.193, 0.193, 8.10E-05, 7.06E-06, 163.
