steps, exact, numeric, error, variance, time
1000, 0.193, 0.182, 0.0111, 3.77E-06, 0.000874
10000, 0.193, 0.183, 0.0100, 3.65E-06, 0.00993
100000, 0.193, 0.194, 0.00161, 7.12E-06, 0.126
1000000, 0.193, 0.193, 0.000210, 6.74E-06, 0.843
10000000, 0.193, 0.193, 4.91E-05, 7.41E-06, 4.95
100000000, 0.193, 0.193, 2.34E-05, 7.14E-06, 45.3
1000000000, 0.193, 0.193, 1.34E-06, 7.12E-06, 437.
